recipe_name,ingredients,preparation_time,cooking_time
Homemade french fries with cheese sauce,"{'POTATOES': 5, 'OIL': 0}",30.0,25.0
Paneer tikka salad,"{'PANEER': '250 gm', 'MUSTARD OIL': '1 tsp', 'RED CHILLI POWDER': '1 tbsp', 'THICK CURD': '1.25 cup', 'GINGER GARLIC PASTE': '1 tbsp', 'CORIANDER POWDER': '1 tbsp', 'JEERA POWDER': '1 tsp', 'GARAM MASALA': '1 tsp', 'BLACK SALT': '0.5 tsp', 'AAMCHUR POWDER': '0', 'OLIVE OIL': '2 tbsp', 'BROWN BREAD': '3 slices', 'ROMAINE LETTUCE': '1 bunch', 'ICE BURG LETTUCE': '1 cup', 'FRESH MINT LEAVES': '0.25 cup', 'LEMON ZEST': '0', 'LEMON JUICE': '1 tsp', 'HONEY': '1 tbsp', 'VINEGAR': '1 tsp', 'ONIONS': '1', 'RED BELL PEPPERS': '1'}",20.0,15.0
Grilled broccoli baby corn mushroom skewers in chilli garlic sauce,"{'BABY CORN': 1, 'BROCCOLI': 1, 'MUSHROOM': 1, 'GINGER GARLIC PASTE': 1, 'SOY SAUCE': 1, 'OIL': 1, 'GARLIC': 1, 'SPRING ONION': 0.25, 'GREEN CHILLIES': 3, 'CAPSICUM': 1, 'YELLOW BELL PEPPER': 1, 'RED BELL PEPPER': 1, 'SPRING ONION GREENS': 2, 'RED CHILLI SAUCE': 1, 'WATER': 100, 'CORNSTARCH': 1, 'BUTTER': 1, 'ONIONS': 1, 'CABBAGE': 1}",15.0,25.0
Kadhai chicken,"{'CHICKEN': '750 gm', 'GINGER': '1 inch', 'GARLIC': '4-5 cloves', 'TOMATOES': '3-4 medium size', 'CURD': '½ cup', 'FRESH CREAM': '2 tbsp', 'CAPSICUM': '1 medium size', 'ONIONS': '1 medium size', 'GREEN CHILLIES': '1-2 nos', 'FRESH CORIANDER LEAVES': '1 tbsp'}",30.0,45.0
Anda bhurji toast,"{'EGGS': 4, 'OIL': 1, 'JEERA': 1, 'ONIONS': 2, 'GREEN CHILLIES': 2, 'TOMATOES': 2, 'SALT': 0, 'TURMERIC POWDER': 0.5, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 2, 'GARAM MASALA POWDER': 1, 'FRESH CORIANDER': 2, 'HUNG CURD': 0.5, 'FRESH MINT LEAVES': 2, 'PAV': 6, 'PROCESSED CHEESE': 0}",10.0,20.0
Paneer hot pan,"{'PANEER': '250gm', 'GINGER': '1 tbsp', 'GARLIC': '1 tbsp', 'CORN STARCH': '1 tbsp', 'OIL': '0', 'CAPSICUM': '1', 'SCHEZWAN SAUCE': '3 tbsp', 'KETCHUP': '2 tbsp', 'RED CHILLI SAUCE': '1 tbsp', 'WATER': '50 ml', 'CORNSTARCH': '1 tbsp', 'SPRING ONION': '½ cup', 'BUTTER': '1 tbsp', 'ONIONS': '1', 'CABBAGE': '1 cup'}",15.0,25.0
Veg Peri Peri Sandwich,"{'RED CHILLI POWDER': 1, 'GARLIC POWDER': 1, 'BLACK SALT': 1, 'POWDERED SUGAR': 1, 'CINNAMON POWDER': 0.5, 'DRIED OREGANO': 1, 'GINGER POWDER': 1, 'MAYONNAISE': 1, 'CABBAGE': 0.5, 'CARROT': 0.5, 'SANDWICH BREAD': 0, 'BUTTER': 0, 'POTATOES': 0, 'ONIONS': 0, 'TOMATOES': 0, 'CAPSICUM': 0, 'PROCESSED CHEESE': 0}",15.0,15.0
Cheesy pav bhaji masala omelette,"{'OIL': 1, 'JEERA': 1, 'ONIONS': 2, 'GARLIC PASTE': 2, 'RED CHILLI PASTE': 1, 'CAPSICUM': 1, 'TOMATOES': 3, 'TURMERIC POWDER': 0.25, 'PAV BHAJI MASALA POWDER': 1, 'WATER': 100, 'LEMON JUICE': 1, 'FRESH CORIANDER': 1, 'EGGS': 3, 'BLACK PEPPER POWDER': 'a pinch', 'BUTTER': 1, 'MOZZARELLA CHEESE': 'as required'}",15.0,15.0
Veggies in peri peri sauce with herbed brown rice,"{'OATS': 4, 'OIL': 1, 'GARLIC': 1, 'MILK': 300, 'CARROTS': 0.5, 'SWEET CORN': 0.5, 'BROCCOLI': 0.5, 'RED BELL PEPPER': 0.5, 'MUSHROOM': 0.5, 'PANEER': 150, 'PARSLEY': 3, 'OLIVE OIL': 1, 'MIXED HERBS': 1, 'COOKED BROWN RICE': 2}",30.0,30.0
Peri peri pull out pav,"{'CAPSICUM': 0.5, 'YELLOW BELL PEPPER': 0.5, 'RED BELL PEPPER': 0.5, 'ONION': 0.5, 'SWEET CORN': 0.5, 'PANEER': 0.5, 'GARLIC': 2, 'MOZZARELLA CHEESE': 1, 'FRESH CORIANDER LEAVES': 3, 'MELTED BUTTER': 4, 'FRESH CORIANDER': 3, 'PAV': 12}",25.0,10.0
Reshmi kebab masala,{'CHICKEN': '500gm'},90.0,45.0
Aloo tikki burger,"{'POTATOES': '4-5', 'GREEN PEAS': '1/4th cup', 'BUTTER': '1 tbsp', 'SOAKED POHA': '1/3rd cup', 'REFINED FLOUR': '½ cup', 'CORN STARCH': '½ cup', 'BAKING POWDER': '1 tsp'}",60.0,20.0
Dahi bhalle,"{'URAD DAL': 1, 'MOONG DAL': 0.5, 'JEERA': 1, 'GREEN CHILLIES': 2, 'GINGER': 1, 'RAISINS': 0.25, 'OIL': 0, 'LUKE WARM WATER': 0, 'SALT': 0, 'HING': 1, 'CURD': 2, 'BLACK SALT': 0.5, 'POWDERED SUGAR': 0.25, 'JEERA POWDER': 0, 'RED CHILLI POWDER': 0, 'TAMARIND CHUTNEY': 0, 'MINT CHUTNEY': 0, 'SOAKED BOONDI': 0, 'POMEGRANATE SEEDS': 0}",10.0,30.0
Chilli idli,"{'Idlis': '8-10 nos.', 'Refined flour (maida)': '½ cup', 'Corn flour': '½ cup', 'Baking powder': '1 tsp', 'Salt': 'to taste', 'Black pepper': 'to taste', 'Water': '100 ml', 'Oil': '2 tbsp', 'Garlic': '7-8 cloves (chopped)', 'Ginger': '1 inch (chopped)', 'Green chillies': '5-6 nos. (slit)', 'Capsicum': '2 medium size (diced)', 'Spring onion bulbs': '½ cup (diced)', 'Sugar': '1 tsp', 'Red chilli sauce': '2 tbsp', 'Soy sauce': '2 tbsp', 'Cornstarch': '1 tbsp', 'Crispy fried idlis': 0, 'Spring onion greens': '1/4th cup (chopped)'}",15.0,25.0
Schezwan Noodle Dosa,"{'OIL': 2, 'SPRING ONION BULBS': 0.5, 'CAPSICUM': 2, 'CARROT': 1, 'CABBAGE': 0.5, 'SCHEZWAN SAUCE': 3, 'TOMATO KETCHUP': 2, 'RED CHILLI SAUCE': 1, 'SOY SAUCE': 1, 'NOODLES': 2, 'SPRING ONION GREENS': 2, 'DOSA BATTER': 0, 'BUTTER': 0}",15.0,30.0
Chatpati tandoori shakarkandi,"{'SWEET POTATO': 500, 'OLIVE OIL': 2, 'GARLIC': 7, 'RED CHILLI FLAKES': 2, 'TAMARIND CHUTNEY': 2, 'BLACK SALT': 0.5, 'FRESH MINT LEAVES': 1, 'FRESH CORIANDER': 1}",15.0,30.0
Paneer chilli potato cups,"{'OIL': 0, 'GARLIC': 7, 'GINGER': 1, 'GREEN CHILLIES': 2, 'SPRING ONIONS': 0, 'CAPSICUM': 0.33, 'RED BELL PEPPER': 0.33, 'YELLOW BELL PEPPER': 0.33, 'SUGAR': 1, 'SOY SAUCE': 1, 'RED CHILLI SAUCE': 1, 'SALT': 0, 'PEPPER': 0, 'WATER': 100, 'CORNSTARCH': 1, 'PANEER': 250, 'POTATOES': 8, 'PANEER CHILLI FILLINGS': 0}",10.0,30.0
Crispy honey chicken,"{'BONELESS CHICKEN': 500, 'CORNSTARCH': 0.25, 'OIL': 2, 'GARLIC': 5, 'GINGER': 1, 'RED CHILLI PASTES': 2, 'KETCHUP': 3, 'HONEY': 2, 'SPRING ONION GREENS': 0.25, 'VINEGAR': 0.5}",30.0,25.0
Cheesy masala pav,"{'PROCESSED CHEESE': 1, 'BUTTER': 2, 'MILK': 0.5, 'PAV': 4, 'JEERA': 1, 'ONIONS': 2, 'RED CHILLI PASTES': 1, 'GARLIC PASTE': 2, 'CAPSICUM': 1, 'TOMATO': 3, 'PAV BHAJI MASALA': 1, 'FRESH CORIANDER LEAVES': 1, 'LEMON JUICE': 1}",15.0,20.0
Corn curry,"{'SWEET CORN': 1, 'JEERA': 1, 'CORIANDER SEEDS': 1, 'FENUGREEK SEEDS': 1, 'DRIED RED CHILLIES': 10, 'GARLIC CLOVES': 10, 'COCONUT': 1, 'ONIONS': 2, 'WATER': 0, 'OIL': 1, 'MUSTARD SEEDS': 1, 'CURRY LEAVES': 10, 'TURMERIC POWDER': 0.25, 'SALT': 0, 'SWEET CORN KERNELS': 0.5, 'SOAKED IMLI WATER': 3}",15.0,30.0
Gobi ka paratha,"{'CAULIFLOWER': 750, 'GREEN CHILLIES': 1, 'GINGER': 0.5, 'FRESH MINT': 2, 'FRESH CORIANDER': 2, 'WHEAT FLOUR': 1, 'SALT': 0, 'WATER': 0, 'GOBI MIXTURE': 0, 'GHEE': 0}",45.0,30.0
Tari wala chicken,"{'CHICKEN': '800gm', 'SALT': '0', 'RED CHILLI POWDER': '1 tbsp', 'LEMON JUICE': '1 tsp', 'GINGER GARLIC PASTE': '1 tbsp', 'GHEE': '2 tbsp', 'JEERA': '1 tsp', 'CINNAMON STICK': '1 inch', 'BLACK PEPPER CORNS': '5-6 nos', 'CLOVES': '4-5 nos', 'BLACK CARDAMOM': '1 no', 'GREEN CARDAMOM': '2-3 nos', 'BAY LEAF': '1-2 nos', 'ONIONS': '4-5 medium size', 'GREEN CHILLIES': '1-2 nos', 'GINGER': '1 inch', 'TOMATOES': '4-5 medium size', 'TURMERIC POWDER': '1/4th tsp', 'CORIANDER POWDER': '1 tbsp', 'WATER': '0', 'GARAM MASALA': '1 tsp', 'FRESH CORIANDER': '1 tbsp'}",25.0,45.0
Kung Pao Potatoes,"{'POTATOES': '6-7', 'OIL': '2', 'GARLIC': '7-8', 'GINGER': '1', 'DRY RED CHILLIES': '3-4', 'CAPSICUM': '1', 'SPRING ONION BULBS': '1/2', 'ROASTED PEANUTS': '1/4', 'SUGAR': '1', 'SICHUAN PEPPERCORNS': '1', 'RED CHILLI SAUCE': '3', 'KETCHUP': '2', 'SOY SAUCE': '1', 'WATER': '100', 'CORNSTARCH': '1', 'SPRING ONION GREENS': '1/4'}",25.0,25.0
Masala oats khichdi,"{'Ghee': '2 tbsp', 'Jeera': '2 tsp', 'Moong dal': '3/4th cup', 'Rolled oats': '1 cup', 'Salt': 'to taste', 'Onions': '½ cup', 'Ginger': '1 tsp', 'Tomatoes': '½ cup', 'Turmeric powder': '½ tsp', 'Red chilli powder': '1 tbsp', 'Coriander powder': '1 tbsp', 'Water': '200 ml', 'Broccoli': '1 cup', 'Carrot': '½ cup', 'Green peas': '½ cup', 'Sweet corn kernels': '½ cup', 'Capsicum': '½ cup', 'garam masala': '1 tsp', 'fresh coriander leaves': '2 tbsp', 'Curd': '1 cup', 'Beetroot': '1/3rd cup', 'Jeera powder': '½ tsp', 'Black salt': '1 tsp'}",20.0,30.0
Veg Manchow Soup,"{'CABBAGE': 1.5, 'CARROTS': 1.25, 'FRENCH BEANS': 0.75, 'GINGER GARLIC PASTE': 1, 'CORN STARCH': 3, 'REFINED FLOUR': 0.75, 'SOY SAUCE': 4, 'OIL': 0, 'NOODLES': 1, 'GARLIC': 6.5, 'GINGER': 1, 'SPRING ONION BULBS': 0.25, 'CELERY': 1, 'MUSHROOM': 0.25, 'CAPSICUM': 0.25, 'TOMATO': 0.25, 'SUGAR': 1, 'GREEN CHILLI PASTE': 2, 'VEGETABLE STOCK': 1000, 'PANEER': 0.25, 'SPRING ONION GREENS': 0.25, 'VINEGAR': 1}",25.0,30.0
Amritsari chole bhature,"{'WHITE CHICKPEAS': 250, 'GARLIC CLOVES': 6, 'CINNAMON STICK': 1, 'BLACK CARDAMOM': 2, 'GREEN CARDAMOM': 2, 'CLOVES': 4, 'BLACK PEPPERCORNS': 6, 'BAY LEAF': 3, 'CAROM SEEDS': 1, 'BLACK TEA POWDER': 2, 'SALT': 0, 'WATER': 0, 'OIL': 0, 'ONION': 2, 'GINGER GARLIC PASTE': 1, 'TOMATO': 4, 'GREEN CHILLIES': 2, 'GINGER': 1, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 1, 'JEERA POWDER': 1, 'ANARDANA POWDER': 2, 'GARAM MASALA': 1, 'KASURI METHI': 1, 'FRESH CORIANDER': 2, 'REFINED FLOUR': 2, 'BAKING POWDER': 2, 'BAKING SODA': 1, 'SUGAR': 1, 'GHEE': 2, 'CURD': 0.5}",20.0,60.0
Moong dal pizza,"{'MOONGDAL': 1, 'GREEN CHILLIES': 2, 'GINGER': 1, 'WATER': 2, 'SALT': 0, 'BAKING SODA': 1, 'ONIONS': 1, 'CAPSICUM': 1, 'TOMATOES': 1, 'SWEET CORN': 0.5, 'FRESH CORIANDER LEAVES': 2, 'AAMCHUR POWDER': 1, 'GARAM MASALA': 1, 'RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'TURMERIC POWDER': 0.5, 'OLIVE OIL': 1}",15.0,30.0
Egg masala sandwich,"{'OIL': 1, 'JEERA': 1, 'ONIONS': 2, 'GINGER GARLIC PASTE': 1, 'GREEN CHILLIES': 2, 'TOMATOES': 2, 'SALT': 0, 'RED CHILLI POWDER': 1, 'TURMERIC POWDER': 0.5, 'CORIANDER POWDER': 1, 'WATER': 100, 'BOILED EGGS': 6, 'GARAM MASALA': 1, 'FRESH CORIANDER': 1}",15.0,30.0
Ragda Pattice,"{'WHITE CHICK PEAS': 2, 'OIL': 1, 'JEERA': 1, 'HING': 1, 'GINGER GARLIC PASTE': 1, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 1, 'TURMERIC POWDER': 0.5, 'BAKING SODA': 1, 'GARAM MASALA': 1, 'FRESH CORIANDER LEAVES': 1, 'BOILED POTATOES': '5-6', 'SOAKED POHA': 0.5, 'FRESH MINT LEAVES': 1, 'KASURI METHI': 1, 'JEERA POWDER': 1, 'CHAAT MASALA': 1, 'AAMCHUR POWDER': 0.5, 'GHEE / OIL': 0}",15.0,60.0
Chicken malai tikka,"{'CHICKEN': '500 gm', 'SALT': '0', 'BLACK PEPPER': '1/4th tsp', 'GARLIC PASTE': '1 tbsp', 'GINGER PASTE': '½ tbsp', 'HUNG CURD': '3/4th cup', 'FRESH CREAM': '½ cup', 'ALMOND PASTE': '2 tbsp', 'GREEN CHILLI PASTE': '1 tsp', 'GARAM MASALA': '2 tsp', 'KASURI METHI': '1 tsp', 'WHITE PEPPER POWDER': '1/4th tsp', 'FRESH CORIANDER LEAVES': '1 tbsp', 'CORN STARCH': '1 tbsp', 'GHEE': '2 tbsp'}",90.0,30.0
Veg Triple Schezwan Fried Rice,"{'OIL': '2 tbsp', 'GARLIC': '1 tbsp', 'GINGER': '0.5 tbsp', 'GREEN CHILLIES': '1-2', 'SPRING ONION BULBS': '0.25 cup', 'CARROTS': '0.25 cup', 'CAPSICUM': '0.25 cup', 'FRENCH BEANS': '0.25 cup', 'CABBAGE': '0.5 cup', 'SALT': '0', 'WHITE PEPPER': '0', 'SUGAR': '1 tsp', 'SCHEZWAN SAUCE': '0.25 cup', 'RED CHILLI SAUCE': '2 tbsp', 'SOY SAUCE': '1 tsp', 'BOILED RICE': '4 cups', 'BOILED NOODLES': '1 cup', 'SPRING ONION GREENS': '2 tbsp'}",30.0,30.0
Egg bhuna roll,"{'EGGS': 8, 'OIL': 7, 'JEERA': 1, 'ONIONS': 1, 'RED CHILLI PASTE': 2, 'GINGER GARLIC PASTE': 2, 'CURD': 0.25, 'TURMERIC POWDER': 0.25, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 1, 'SALT': 0, 'TOMATO PUREE': 1, 'WATER': 200, 'GARAM MASALA': 1, 'FRESH CORIANDER': 2, 'WHEAT FLOUR': 2, 'GHEE': 0.25, 'CHILLI VINEGAR': 0, 'CHAAT MASALA': 0}",45.0,45.0
Rava idli,"{'Rava': 1, 'Salt': 0, 'Curd': 1, 'Water': 50, 'Oil': 1, 'Mustard seeds': 1, 'Urad dal': 1, 'Green chillies': 2, 'Cashew nuts': 2, 'Curry leaves': 1, 'Baking soda': 1, 'Onions': 1, 'Garlic cloves': 4, 'Dry red chillies': 4, 'Tomatoes': 3, 'Red chilli powder': 1, 'Jeera': 1, 'Chana dal': 1, 'Asafoetida': 0.5}",45.0,25.0
Mutton masala,"{'MUTTON': 750, 'SALT': 0, 'GINGER GARLIC PASTE': 1, 'LEMON JUICE': 1, 'CURD': 0.5, 'GHEE': 4, 'BAY LEAVES': 2, 'GREEN CARDAMOM': 3, 'BLACK CARDAMOM': 1, 'CLOVES': 3, 'CINNAMON': 1, 'ONION': 5, 'GREEN CHILLI PASTES': 1, 'TURMERIC POWDER': 0.5, 'CORIANDER POWDER': 2, 'RED CHILLI POWDER': 1, 'TOMATO PUREE': 3, 'HOT WATER': 250, 'GARAM MASALA': 1, 'FRESH CORIANDER': 1}",30.0,90.0
Anda Paratha,"{'EGGS': 3, 'SALT': 0, 'BLACK PEPPER POWDER': 0, 'RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'TURMERIC POWDER': 0.25, 'GARAM MASALA': 0.5, 'ONION': 1, 'GREEN CHILLIES': 1, 'FRESH CORIANDER': 1, 'WHEAT FLOUR': 1, 'WATER': 0}",25.0,25.0
Chicken Seekh Paratha Roll,"{'CHICKEN': '150gm', 'ONIONS': 2, 'GARLIC': 7, 'GINGER': 1, 'GREEN CHILLIES': 3, 'FRESH MINT LEAVES': 3, 'FRESH CORIANDER LEAVES': 3, 'WHEAT FLOUR': 2, 'AJWAIN': 0, 'SALT': 0, 'WATER': 0}",45.0,30.0
Tomato basil soup,"{'TOMATOES': 5, 'BOILING WATER': 0, 'ICE-COLD WATER': 0, 'OLIVE OIL': 1, 'GARLIC': 1, 'SALT': 0, 'BLACK PEPPER': 0.25, 'OREGANO': 0.5, 'RED CHILLI FLAKES': 1, 'SUGAR': 1, 'HOT WATER': 250, 'BASIL LEAVES': 2, 'CORN STARCH': 1, 'FRESH CREAM': 1}",15.0,25.0
Veg Bhuna Masala,"{'Oil': 3, 'Raw Potatoes': 2, 'Carrot': 1, 'Cauliflower': 0.5, 'French beans': 0.5, 'Ghee': 2, 'Jeera': 1, 'Onions': 3, 'Ginger garlic paste': 1, 'Turmeric powder': 0.5, 'Coriander powder': 1, 'Red chilli powder': 1, 'Red chilli paste': 4, 'Curd': 0.33, 'Cashew paste': 8, 'Tomato puree': 3, 'Paneer': 200, 'Fresh coriander leaves': 1, 'Garam masala': 1}",15.0,45.0
Egg masala curry,"{'EGGS': 8, 'OIL': 0, 'TURMERIC': 0.5, 'CUMIN SEEDS': 1, 'CLOVES': 4, 'CINNAMON': 1, 'RED CHILLI': 1, 'GREEN CARDAMOM': 3, 'ONIONS': 4, 'GINGER GARLIC PASTE': 2, 'TOMATO PUREE': 4, 'GREEN CHILLIES': 2, 'TURMERIC POWDER': 0.25, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 0, 'FENNEL POWDER': 1, 'SALT': 0, 'GARAM MASALA': 1, 'KASURI METHI': 1, 'FRESH CORIANDER LEAVES': 1}",15.0,30.0
Grilled peri peri sandwich,"{'PANEER': '150gm', 'TOMATOES': '1/4th cup', 'CAPSICUM': '1/4th cup', 'SWEET CORN': '1/4th cup', 'ONIONS': '1/4th cup', 'FRESH CORIANDER': '2 tbsp', 'FRESH MINT LEAVES': '2 tbsp'}",15.0,10.0
Veg fried rice,"{'RICE': '500gm', 'CARROTS': '1/3rd cup', 'CABBAGE': '1 cup', 'CAPSICUM': '1/3rd cup', 'FRENCH BEANS': '1/4th cup', 'PANEER': '150gm'}",60.0,20.0
Homemade pizza and pasta sauce,"{'TOMATOES': 5, 'OLIVE OIL': 2, 'ONION': 1, 'GARLIC': 4, 'SALT': 0, 'PEPPER': 0, 'RED CHILLI FLAKES': 2, 'OREGANO': 2, 'VINEGAR': 1}",15.0,20.0
Sarson da saag aur makke di roti,"{'MUSTARD LEAVES': 2, 'SPINACH': 1, 'WILD SPINACH': 1, 'WATER': 100, 'GREEN CHILLIES': 4, 'GARLIC': 8, 'FRESH CORIANDER': 0.25, 'MAIZE FLOUR': 1, 'GHEE': 4, 'ONIONS': 1, 'GINGER': 1, 'TOMATO': 1, 'SALT': 0.5, 'AJWAIN': 1}",30.0,90.0
Authentic Punjabi rajma,"{'RAJMA': 1, 'ONIONS': 3, 'OIL': 50, 'GINGER GARLIC PASTE': 2, 'TOMATOES': 4, 'TURMERIC POWDER': 0.25, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 1, 'GARAM MASALA': 1, 'KASURI METHI': 1, 'FRESH CORIANDER': 2}",15.0,60.0
Chicken tikka masala tacos,"{'CHICKEN': '250gm', 'TOMATOES': '1', 'ONIONS': '2', 'CAPSICUM': '1', 'REFINED FLOUR': '2 cups', 'CURD': '2 cups'}",60.0,30.0
Dal Bukhara,"{'Whole black gram (sabut urad dal)': 1, 'Water': 0, 'Salt': 0, 'Turmeric powder': 0.25, 'Ghee': 3, 'Cumin seeds (jeera)': 1, 'Hing (asafoetida)': 1, 'Ginger garlic paste': 1, 'Tomato puree': 1, 'Red chilli powder': 1, 'Coriander powder': 1, 'Garam masala': 1, 'Kasuri methi': 1, 'White butter / normal butter': 2, 'Fresh cream': 4}",10.0,120.0
Matar paneer,"{'TOMATOES': 5, 'OIL': 2, 'BUTTER': 1, 'GREEN CHILLIES': 2, 'GINGER': 1, 'PANEER': 250, 'GHEE': 2, 'JEERA': 2, 'ONIONS': 2, 'GINGER GARLIC PASTE': 2, 'TURMERIC POWDER': 0.25, 'GRAM FLOUR': 1, 'RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'GREEN PEAS': 1, 'GARAM MASALA': 1, 'KASURI METHI': 1, 'FRESH CORIANDER LEAVES': 0}",15.0,30.0
Paneer bhuna roll,"{'OIL': 6, 'JEERA': 1, 'ONIONS': 1, 'RED CHILLI PASTE': 2, 'GINGER GARLIC PASTE': 2, 'CURD': 0.25, 'TURMERIC POWDER': 0.25, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 1, 'TOMATO PUREE': 1, 'PANEER': 250, 'GARAM MASALA': 1, 'FRESH CORIANDER': 1, 'WHEAT FLOUR': 2, 'SALT': 1, 'GHEE': 0.25}",45.0,45.0
Wheat flour uttapam 3 ways,"{'WHEAT FLOUR': 1, 'SALT': 0, 'BAKING POWDER': 1, 'CURD': 1, 'WATER': 0, 'PANEER': 100, 'TOMATOES': 1, 'ONIONS': 1, 'CAPSICUM': 1, 'GREEN CHILLIES': 2, 'TURMERIC POWDER': 0.25, 'CORIANDER POWDER': 1, 'RED CHILLI POWDER': 1, 'GARAM MASALA': 1, 'GINGER GARLIC PASTE': 1, 'FRESH CORIANDER LEAVES': 1, 'BOILED POTATOES': 3, 'GREEN CHUTNEY': 1, 'TAMARIND CHUTNEY': 2, 'GARLIC': 1, 'RED CHILLI FLAKES': 1, 'SWEET CORN': 0, 'GARLIC POWDER': 1, 'BLACK SALT': 1, 'POWDERED SUGAR': 1, 'CINNAMON POWDER': 0.5, 'DRIED OREGANO': 1, 'GINGER POWDER': 1}",45.0,25.0
Vada pav bites,"{'BREAD SLICES': 8, 'BUTTER': 0, 'OIL': 2, 'MUSTARD SEEDS': 1, 'JEERA': 1, 'CURRY LEAVES': 10, 'GINGER GARLIC PASTE': 1, 'GREEN CHILLI PASTES': 1, 'TURMERIC POWDER': 0.5, 'POTATOES': 5, 'SALT': 0, 'FRESH CORIANDER': 1, 'LEMON JUICE': 1, 'GRAM FLOUR': 1, 'AJWAIN': 1, 'WATER': 0, 'KASHMIRI RED CHILLIES': 12, 'GARLIC CLOVES': 100, 'BLACK SALT': 1.5, 'CUMIN POWDER': 1, 'GARAM MASALA': 1}",30.0,30.0
Cheese chilli garlic mini kulchas,"{'Mozzarella / processed cheese': 1, 'Garlic': 0.25, 'Green chillies': 2, 'Refined flour': 2, 'Salt': 0, 'Baking powder': 1, 'Curd': 1, 'Fresh coriander leaves': 0}",45.0,20.0
,,,
Gajar ka halwa,"{'CARROTS': '1 kg', 'GHEE': '3 tbsp', 'CASHEW NUTS': '50 gm', 'ALMONDS': '50 gm', 'PISTACHIOS': '50 gm', 'MILK': '2 litres', 'SUGAR': '300 gm', 'CARDAMOM POWDER': '2 tsp', 'RAISINS': '30 gm'}",15.0,90.0
Aloo corn tikki roll,"{'OIL': 1, 'GINGER GARLIC PASTE': 1, 'GREEN CHILLIES': 2, 'TOMATO KETCHUP': 3, 'TURMERIC POWDER': 0.25, 'RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'JEERA POWDER': 1, 'GARAM MASALA': 1, 'WATER': 50, 'SWEET CORN': 0.5, 'POTATOES': 1, 'SALT': 0, 'AMCHUR POWDER': 1, 'FRESH CORIANDER': 2, 'WHEAT': 1, 'THICK CURD': 0.5, 'GARLIC JUICE': 1, 'BLACK SALT': 0.5, 'MINT CHUTNEY': 2, 'BUTTER / GHEE': 0, 'FRANKIE MASALA': 0, 'CHILLY VINEGAR': 0}",25.0,30.0
Veg shashlik Chinese sizzler with chilli garlic sauce,"{'BROCCOLI': 1, 'YELLOW BELL PEPPER': 0.5, 'RED BELL PEPPER': 0.5, 'BABY CORN': 0.5, 'MUSHROOMS': 0.5, 'PANEER': 250, 'GARLIC': 7, 'GINGER': 1, 'GREEN CHILLIES': 3, 'SPRING ONION BULBS': 0.25, 'WATER': 200, 'SUGAR': 1, 'CORNSTARCH': 1, 'SPRING ONION GREENS': 0.25, 'CARROTS': 0.5, 'CAPSICUM': 0.5, 'SWEET CORN': 0.25, 'FRENCH BEANS': 0.33, 'RICE': 250}",60.0,60.0
,,,
Chicken chilli,"{'CHICKEN': '500gm', 'OIL': '2tbsp', 'GARLIC': '15', 'GINGER': '1', 'GREEN CHILLIES': '6-7', 'ONIONS': '2', 'RED BELL PEPPERS': '1', 'CAPSICUM': '1', 'SUGAR': '1tsp', 'SPRING ONION BULBS': '1/4th cup', 'SOY SAUCE': '3tbsp', 'RED CHILLI SAUCE': '1tbsp', 'WATER': '100ml', 'CORNSTARCH': '1tbsp'}",15.0,25.0
Chicken seekh kebab,"{'ONIONS': 2, 'GARLIC': 7, 'GINGER': 1, 'GREEN CHILLIES': 3, 'CHICKEN': 150, 'FRESH MINT LEAVES': 3, 'FRESH CORIANDER LEAVES': 3, 'BLACK SALT': 1, 'CORIANDER POWDER': 2, 'CUMIN POWDER': 1, 'GARAM MASALA': 1, 'TURMERIC POWDER': 0.5, 'RED CHILLI POWDER': 1, 'GHEE': 2}",30.0,10.0
Lahsun ki Chutney,{},0.0,0.0
,,,
Punjabi style pinni,"{'GOND': 200, 'Cashew nuts': 100, 'Almonds': 100, 'Pistachios': 100, 'Ghee': 250, 'Wheat flour': 500, 'Powdered sugar': 350, 'Dry ginger powder': 75, 'Cardamom powder': 35, 'Raisins': 100, 'Pumpkin seeds': 75}",10.0,30.0
